Var1,Var2,Freq
GAMBELIA,ETH,376
BENSHAGUL GUMUZ,ETH,382
AFAR,ETH,422
HARARI,ETH,446
ADDIS ABABA,ETH,544
DIREDWA,ETH,547
SOMALIE,ETH,825
TIGRAY,ETH,1604
OROMIA,ETH,2824
AMHARA,ETH,2896
SNNP,ETH,3319
1. NORTH CENTRAL,MWI,0
2. NORTH EAST,MWI,0
3. NORTH WEST,MWI,0
4. SOUTH EAST,MWI,0
5. SOUTH SOUTH,MWI,0
6. SOUTH WEST,MWI,0
ADDIS ABABA,MWI,0
AFAR,MWI,0
AGADEZ,MWI,0
AMHARA,MWI,0
BENSHAGUL GUMUZ,MWI,0
COMMUNAUTÉ URBAINE DE NIAMEY,MWI,0
DAR ES SALAAM,MWI,0
DIFFA,MWI,0
DIREDWA,MWI,0
DOSSO,MWI,0
EASTERN,MWI,0
GAMBELIA,MWI,0
HARARI,MWI,0
KAMPALA,MWI,0
MAINLAND OTHER URBAN,MWI,0
MAINLAND RURAL,MWI,0
MARADI,MWI,0
NIAMEY,MWI,0
NORTH CENTRAL,MWI,0
NORTH EAST,MWI,0
NORTH WEST,MWI,0
NORTHERN,MWI,0
OROMIA,MWI,0
SNNP,MWI,0
SOMALIE,MWI,0
SOUTH EAST,MWI,0
SOUTH SOUTH,MWI,0
SOUTH WEST,MWI,0
TAHOUA,MWI,0
TIGRAY,MWI,0
TILLABÉRI,MWI,0
WESTERN,MWI,0
ZANZIBAR,MWI,0
ZINDER,MWI,0
NORTH - RURAL,MWI,193
NORTH - URBAN,MWI,209
SOUTH - URBAN,MWI,411
CENTER - URBAN,MWI,435
NORTH,MWI,620
CENTER - RURAL,MWI,1091
SOUTH,MWI,1095
SOUTH - RURAL,MWI,1270
SOUTHERN,MWI,1368
CENTRAL,MWI,2603
1. NORTH CENTRAL,NER,0
2. NORTH EAST,NER,0
3. NORTH WEST,NER,0
4. SOUTH EAST,NER,0
5. SOUTH SOUTH,NER,0
6. SOUTH WEST,NER,0
ADDIS ABABA,NER,0
AFAR,NER,0
AMHARA,NER,0
BENSHAGUL GUMUZ,NER,0
CENTER - RURAL,NER,0
CENTER - URBAN,NER,0
CENTRAL,NER,0
DAR ES SALAAM,NER,0
DIREDWA,NER,0
EASTERN,NER,0
GAMBELIA,NER,0
HARARI,NER,0
KAMPALA,NER,0
MAINLAND OTHER URBAN,NER,0
MAINLAND RURAL,NER,0
NORTH,NER,0
NORTH - RURAL,NER,0
NORTH - URBAN,NER,0
NORTH CENTRAL,NER,0
NORTH EAST,NER,0
NORTH WEST,NER,0
NORTHERN,NER,0
OROMIA,NER,0
SNNP,NER,0
SOMALIE,NER,0
SOUTH,NER,0
SOUTH - RURAL,NER,0
SOUTH - URBAN,NER,0
SOUTH EAST,NER,0
SOUTH SOUTH,NER,0
SOUTH WEST,NER,0
SOUTHERN,NER,0
TIGRAY,NER,0
WESTERN,NER,0
ZANZIBAR,NER,0
COMMUNAUTÉ URBAINE DE NIAMEY,NER,714
DIFFA,NER,740
TILLABÉRI,NER,757
AGADEZ,NER,810
DOSSO,NER,820
TAHOUA,NER,865
MARADI,NER,910
NIAMEY,NER,917
ZINDER,NER,937
ADDIS ABABA,NGA,0
AFAR,NGA,0
AGADEZ,NGA,0
AMHARA,NGA,0
BENSHAGUL GUMUZ,NGA,0
CENTER - RURAL,NGA,0
CENTER - URBAN,NGA,0
CENTRAL,NGA,0
COMMUNAUTÉ URBAINE DE NIAMEY,NGA,0
DAR ES SALAAM,NGA,0
DIFFA,NGA,0
DIREDWA,NGA,0
DOSSO,NGA,0
EASTERN,NGA,0
GAMBELIA,NGA,0
HARARI,NGA,0
KAMPALA,NGA,0
MAINLAND OTHER URBAN,NGA,0
MAINLAND RURAL,NGA,0
MARADI,NGA,0
NIAMEY,NGA,0
NORTH,NGA,0
NORTH - RURAL,NGA,0
NORTH - URBAN,NGA,0
NORTHERN,NGA,0
OROMIA,NGA,0
SNNP,NGA,0
SOMALIE,NGA,0
SOUTH,NGA,0
SOUTH - RURAL,NGA,0
SOUTH - URBAN,NGA,0
SOUTHERN,NGA,0
TAHOUA,NGA,0
TIGRAY,NGA,0
TILLABÉRI,NGA,0
WESTERN,NGA,0
ZANZIBAR,NGA,0
ZINDER,NGA,0
2. NORTH EAST,NGA,1471
5. SOUTH SOUTH,NGA,1581
NORTH EAST,NGA,1582
4. SOUTH EAST,NGA,1595
SOUTH EAST,NGA,1604
NORTH CENTRAL,NGA,1605
SOUTH SOUTH,NGA,1610
6. SOUTH WEST,NGA,1619
1. NORTH CENTRAL,NGA,1645
3. NORTH WEST,NGA,1748
SOUTH WEST,NGA,1787
NORTH WEST,NGA,1794
1. NORTH CENTRAL,TZA,0
2. NORTH EAST,TZA,0
3. NORTH WEST,TZA,0
4. SOUTH EAST,TZA,0
5. SOUTH SOUTH,TZA,0
6. SOUTH WEST,TZA,0
ADDIS ABABA,TZA,0
AFAR,TZA,0
AGADEZ,TZA,0
AMHARA,TZA,0
BENSHAGUL GUMUZ,TZA,0
CENTER - RURAL,TZA,0
CENTER - URBAN,TZA,0
CENTRAL,TZA,0
COMMUNAUTÉ URBAINE DE NIAMEY,TZA,0
DIFFA,TZA,0
DIREDWA,TZA,0
DOSSO,TZA,0
EASTERN,TZA,0
GAMBELIA,TZA,0
HARARI,TZA,0
KAMPALA,TZA,0
MARADI,TZA,0
NIAMEY,TZA,0
NORTH,TZA,0
NORTH - RURAL,TZA,0
NORTH - URBAN,TZA,0
NORTH CENTRAL,TZA,0
NORTH EAST,TZA,0
NORTH WEST,TZA,0
NORTHERN,TZA,0
OROMIA,TZA,0
SNNP,TZA,0
SOMALIE,TZA,0
SOUTH,TZA,0
SOUTH - RURAL,TZA,0
SOUTH - URBAN,TZA,0
SOUTH EAST,TZA,0
SOUTH SOUTH,TZA,0
SOUTH WEST,TZA,0
SOUTHERN,TZA,0
TAHOUA,TZA,0
TIGRAY,TZA,0
TILLABÉRI,TZA,0
WESTERN,TZA,0
ZINDER,TZA,0
ZANZIBAR,TZA,2292
DAR ES SALAAM,TZA,2854
MAINLAND OTHER URBAN,TZA,3159
MAINLAND RURAL,TZA,9419
1. NORTH CENTRAL,UGA,0
2. NORTH EAST,UGA,0
3. NORTH WEST,UGA,0
4. SOUTH EAST,UGA,0
5. SOUTH SOUTH,UGA,0
6. SOUTH WEST,UGA,0
ADDIS ABABA,UGA,0
AFAR,UGA,0
AGADEZ,UGA,0
AMHARA,UGA,0
BENSHAGUL GUMUZ,UGA,0
CENTER - RURAL,UGA,0
CENTER - URBAN,UGA,0
COMMUNAUTÉ URBAINE DE NIAMEY,UGA,0
DAR ES SALAAM,UGA,0
DIFFA,UGA,0
DIREDWA,UGA,0
DOSSO,UGA,0
GAMBELIA,UGA,0
HARARI,UGA,0
MAINLAND OTHER URBAN,UGA,0
MAINLAND RURAL,UGA,0
MARADI,UGA,0
NIAMEY,UGA,0
NORTH,UGA,0
NORTH - RURAL,UGA,0
NORTH - URBAN,UGA,0
NORTH CENTRAL,UGA,0
NORTH EAST,UGA,0
NORTH WEST,UGA,0
OROMIA,UGA,0
SNNP,UGA,0
SOMALIE,UGA,0
SOUTH,UGA,0
SOUTH - RURAL,UGA,0
SOUTH - URBAN,UGA,0
SOUTH EAST,UGA,0
SOUTH SOUTH,UGA,0
SOUTH WEST,UGA,0
SOUTHERN,UGA,0
TAHOUA,UGA,0
TIGRAY,UGA,0
TILLABÉRI,UGA,0
ZANZIBAR,UGA,0
ZINDER,UGA,0
KAMPALA,UGA,184
WESTERN,UGA,4119
EASTERN,UGA,4256
NORTHERN,UGA,4790
CENTRAL,UGA,4912
