var_name,class
survey_hhid,character
country,factor
year,numeric
dist_road,numeric
urb_rur,factor
cooking_fuel_prm,factor
relbl_urb_rur,factor
relbl_cooking_fuel_prm,factor
cooking_fuel_prm_grp,factor
up_id,character
bp,factor
young_dependents,numeric
old_dependents,numeric
non_dependents,numeric
depend_ratio,numeric
count_f,numeric
count_m,numeric
sex_ratio,numeric
hh_head_sex,factor
hh_size,numeric
relbl_hh_head_sex,factor
relation_head,factor
sex,factor
age,numeric
relbl_relation_head,factor
relbl_sex,factor
relbl_region,factor
region,factor
hh_weight,numeric
hh_weight_p,numeric
EA,character
strata1,character
